시간(초),strain(%),Cycle,카운터(회),저항01(Ω),저항02(Ω),저항03(Ω),저항04(Ω),저항05(Ω),저항06(Ω),저항07(Ω),저항08(Ω)
0,0,0,0,8.26591,16.69016,15.68918,17.76945,16.86409,7.370309,18.54329,14.32333
0.8,0.091403921,0.01757894,0,8.235817,16.30722,15.70676,17.83964,16.82662,7.322812,17.90628,15.33445
2.2,0.686641784,0.048342086,0,8.199532,16.10358,15.44568,16.97963,16.72437,7.288708,18.50237,15.09294
3.4,1.62253711,0.074710497,0,8.18282,16.10452,15.77127,16.9155,16.89421,7.252135,18.51219,14.09538
4.8,3.175087283,0.105473643,0,9.019258,17.28671,17.71209,18.58172,17.24485,8.2372,18.95432,15.11094
6.2,5.168057015,0.136236788,0,10.42065,18.67912,20.61898,19.33142,19.39805,9.892314,20.12501,16.16865
7.4,7.170976971,0.162605199,0,11.63462,20.24027,21.64471,21.98823,24.16679,11.00498,22.39306,16.71766
8.6,9.388305217,0.18897361,0,12.27787,21.61201,22.0899,22.20255,22.49201,11.82808,23.31428,19.67288
9.8,11.75931725,0.21534202,0,13.5202,21.19025,22.68597,24.12156,22.996,12.77442,24.33186,19.78651
11,14.21907972,0.241710431,0,14.05388,23.45211,22.4569,26.12694,20.95267,13.40291,24.11887,18.99897
12.2,16.70022873,0.268078842,0,15.08219,24.08673,22.86648,25.91005,20.92227,14.02441,26.23731,18.0032
13.4,19.13481471,0.294447252,0,15.81136,25.01556,22.20564,26.61267,22.76427,14.70681,25.40912,19.28344
14.6,21.45616324,0.320815663,0,16.3635,24.92,25.02068,28.16764,24.78105,15.31171,26.60668,20.14683
15.8,23.60070109,0.347184073,0,16.83914,23.4343,26.26255,29.09464,28.79178,15.94407,27.89416,18.65713
17,25.50969721,0.373552484,0,17.42538,24.19693,24.5046,26.44846,33.95818,16.59205,26.95471,19.76479
18.2,27.13087119,0.399920895,0,17.89467,24.09524,25.91792,24.86719,27.98695,17.16364,27.41882,18.94413
19.4,28.419825,0.426289305,0,18.21929,25.02011,25.31421,25.88878,29.7421,17.76609,26.13066,18.7308
20.6,29.34125891,0.452657716,0,18.67097,24.25209,26.82497,28.20158,28.43222,18.00326,26.33906,18.81485
21.8,29.86993823,0.479026127,0,18.71311,24.20391,27.84419,29.17958,25.11949,17.98832,25.68615,19.75497
23,29.99138435,0.505394537,0,18.68309,23.55189,26.3864,29.05267,23.73136,17.55476,24.21154,18.17153
24.2,29.70227133,0.531762948,1,18.13594,23.44202,25.06269,28.95204,24.01373,16.7335,24.45283,17.98299
25.4,29.01051689,0.558131359,1,17.20501,23.03148,23.45889,26.61229,23.2422,15.83296,23.64385,16.97504
26.6,27.93506567,0.584499769,1,16.68317,23.07362,23.06801,25.27095,22.92335,15.59432,23.44171,16.67338
27.8,26.50537034,0.61086818,1,16.61352,22.75668,22.67499,26.02798,23.1938,15.73216,23.79472,17.17735
29,24.76058503,0.637236591,1,16.80288,23.74563,23.97816,26.02541,24.97899,15.70964,28.33851,17.45416
30.2,22.748493,0.663605001,1,16.86811,23.79759,25.83008,26.46382,25.21888,15.62485,28.01515,17.29107
31.4,20.52419812,0.689973412,1,16.77122,23.81732,26.56875,29.39685,27.31745,15.568,28.30393,17.88458
32.6,18.14861566,0.716341822,1,16.65388,24.69232,26.0858,28.0949,23.75329,15.30988,27.4032,17.51375
33.8,15.68680414,0.742710233,1,16.37011,23.03065,24.53214,28.59522,22.45197,14.96807,29.22118,16.96723
35,13.20618357,0.769078644,1,16.07054,24.88882,25.49992,28.99007,25.15582,14.69409,27.93663,17.81037
36.2,10.77468907,0.795447054,1,15.23341,23.58608,23.90386,28.4736,24.3097,14.21042,29.10648,17.79466
37.4,8.458910367,0.821815465,1,14.54492,24.02336,21.91389,28.49658,25.29159,13.62865,27.2278,19.12912
38.6,6.322268174,0.848183876,1,13.63391,22.82541,21.44055,26.18893,23.41577,12.93093,25.20008,18.43897
39.8,4.423277299,0.874552286,1,12.85657,22.01143,21.58909,27.35566,21.17492,11.91057,23.15083,15.65623
41,2.813944152,0.900920697,1,11.84435,21.49087,21.02742,24.25102,19.91289,10.76753,22.32299,15.43555
42.2,1.538342478,0.927289108,1,10.61445,20.02867,18.24511,24.14258,20.19507,9.801167,23.63748,14.96649
43.4,0.631406338,0.953657518,1,9.765374,17.75032,19.84307,25.79233,19.73909,9.485987,20.62087,18.51622
44.8,0.071807875,0.984420664,1,10.05484,16.74026,18.37079,23.2435,20.67029,9.193255,18.96902,15.84196
46,0.034452685,1.010789075,1,9.880442,14.34505,18.25906,23.81867,21.8856,8.936241,17.69683,15.37104
47.4,0.508324651,1.04155222,1,9.765079,13.74735,16.9951,22.89069,23.91258,8.883578,18.27227,14.89718
